Name,Price,24h Change,Market Cap,Timestamp
Bitcoin,"$114,540.97",0.09%,3.13%,2025-08-24 20:30:30.807062
Ethereum,"$4,796.57",0.61%,5.34%,2025-08-24 20:30:30.807062
XRP,$3.01,0.23%,3.50%,2025-08-24 20:30:30.807062
Tether,$0.9996,0.01%,0.08%,2025-08-24 20:30:30.807062
BNB,$865.08,0.11%,0.75%,2025-08-24 20:30:30.807062
Solana,$205.41,0.22%,5.75%,2025-08-24 20:30:30.807062
USDC,$0.9997,0.01%,0.01%,2025-08-24 20:30:30.807062
Dogecoin,$0.2306,0.13%,1.91%,2025-08-24 20:30:30.807062
TRON,$0.3652,0.06%,3.68%,2025-08-24 20:30:30.807062
Cardano,$0.8944,0.28%,7.86%,2025-08-24 20:30:30.807062
